JobName,CompanyName,WorkingArea,Salary
数据分析主管,家乐福成都 Chengdu,成都,6-8千/月
菜鸟网络-HR数据分析师-HRIS,阿里巴巴集团,杭州,
数据分析高级专员,宁波顺丰速运有限公司,宁波-海曙区,0.8-1.2万/月
数据分析岗（上海分公司）,国泰君安证券股份有限公司,上海-长宁区,1-1.5万/月
数据分析师,上海基煜基金销售有限公司,上海-浦东新区,1.4-1.6万/月
数据分析师,深圳戴维克珠宝首饰有限公司,深圳-龙岗区,0.8-1万/月
APP数据分析助理（包住五险一金）,深圳升途网络技术有限公司,深圳-南山区,0.8-1万/月
数据分析师,上海天律信息技术有限公司,上海,1.5-2.5万/月
审计数据分析+双休,石家庄浩初科技有限公司,石家庄-桥西区,6-8千/月
数据分析师,深圳市智必网络技术有限公司,深圳-宝安区,6-8千/月
数据分析架构师,上海倍通医药科技咨询有限公司,北京-朝阳区,2.2-3.5万/月
单板滑雪国家集训队专项训练数据分析实习生,江苏省舜禹信息技术有限公司,保定,4-5千/月
数据分析师,速捷电梯有限公司,嘉兴-南湖区,6-8千/月
数据分析师,东莞保利文塑胶制品有限公司,东莞,0.9-1.5万/月
数据分析岗（数科公司）,陕西建工集团股份有限公司,西安-莲湖区,0.8-1万/月
数据分析师/经理,长沙贝壳找房互联网信息有限公司,长沙-开福区,1-1.5万/月
8K大数据分析助理,深圳市新枝科技有限公司,深圳-宝安区,0.8-1万/月
数据分析师,浙江米奥兰特商务会展股份有限公司,杭州-滨江区,0.7-1.2万/月
数据分析师,明源云,上海-长宁区,1.5-2.5万/月
数据分析主管,广州奶糖派服装有限公司,广州-天河区,1.5-2万/月
商品专员/产品数据分析,广西南宁唯步品牌管理有限公司,南宁,4-8千/月
数据分析经理,四川长征车业集团有限公司,成都,0.6-1万/月
数据分析师,中联惠捷信息技术有限公司,上海-浦东新区,0.8-1.2万/月
Data analyst 数据分析师,上海君实生物工程有限公司,上海-奉贤区,1-1.5万/月
数据分析专员,巴拉巴拉童装江苏公司,无锡-梁溪区,5-7千/月
肿瘤数据分析实习生,埃提斯生物技术（上海）有限公司,上海-闵行区,180元/天
数据分析师,北京鸿联九五信息产业有限公司,北京-朝阳区,1-2万/月
数据分析专员,巨量引擎云南代理,昆明-盘龙区,5-5.5千/月
数据分析师,大唐互联科技（武汉）有限公司,武汉-武汉经济开发区,5.5-6千/月
电商数据专员/数据分析师,广州柏曼光电科技有限公司,广州-黄埔区,0.7-1万/月
电商运营数据分析岗（不限经验）,江苏虫洞电子商务有限公司,常州-天宁区,0.6-1万/月
数据分析师,外资500强知名银行,天津-滨海新区,0.8-1万/月
销售数据分析,长城汽车股份有限公司徐水哈弗销售分公司,保定,4.5-8千/月
数据分析专员(外派平安科技）,深圳德诚物业服务有限公司上海分公司,上海-徐汇区,1-1.5万/月
数据分析师,广东金赋科技股份有限公司,佛山,1.1-1.5万/月
数据分析师,北京亚鸿世纪科技发展有限公司,武汉,1-2万/月
数据分析师,全联征信有限公司,北京-朝阳区,1-1.5万/月
（西安）数据分析工程师,中电太极（集团）有限公司,西安-雁塔区,1-2万/月
LAMY 数据分析主管,LAMY（凌美中国）,济南-历下区,5-6千/月
数据挖掘工程师（数据分析师）,广州市博汇数码科技有限公司,广州,1.2-2.4万/月
数据分析师,广州育智教育科技有限公司,广州-天河区,30-40万/年
数据分析师,南京坦道信息科技有限公司,南京-鼓楼区,0.8-1.5万/月
数据分析主管,汤臣倍健药业有限公司,广州-天河区,1.2-1.8万/月
数据分析员,中山市三人行教育培训中心,中山-火炬开发区,4.5-6千/月
信息计划/数据分析（海口）,华润雪花啤酒,三亚,6-8千/月
数据分析师,南京四象新能源科技有限公司,南京-江宁区,1-1.5万/月
数据分析/研究员（社会公共安全研究方向）,深圳市万人市场调查股份有限公司,深圳-龙华区,0.7-1万/月
高级数据分析师,深圳依时货拉拉科技有限公司,深圳-龙岗区,1.1-2万/月
数据分析助理（六险二金+13薪）,广东兆丰恒业黄金有限公司,广州-越秀区,1-1.5万/月
审计数据分析（地理/环境/审计业务方向）,石家庄通审软件科技有限公司,石家庄,3-5千/月
数据分析,爱盟（东莞）房地产经纪有限公司,东莞-虎门镇,6-8千/月
数据分析师,浙江省农信联社,杭州-萧山区,20-40万/年
物流数据分析专员,迪由控制系统（嘉兴）有限公司,嘉兴,5-7千/月
数据分析师,深圳市富盛资产管理有限公司,深圳,6-8千/月
数据分析,海福乐（深圳）贸易有限公司,深圳,0.8-1万/月
大数据分析师,大连金慧融智科技股份有限公司,大连,0.8-1万/月
临床数据分析员,杭州联川生物技术股份有限公司,杭州,1-1.5万/月
商业数据分析经理,上海来伊份股份有限公司,上海,1.5-2万/月
电商数据分析师,上海来伊份食品连锁经营有限公司,上海,1-1.5万/月
数据分析师,笔克展览服务（深圳）有限公司,深圳-福田区,2-2.5万/月
北京分行-零售金融数据分析岗,中国光大银行北京分行,北京,
商务数据分析专家,百威（厦门）管理运营有限公司,厦门,1-1.5万/月
营运 数据分析,喜士多便利店C-STORE-零售业-连锁,上海-静安区,1-2万/月
G商品数据分析师,星创视界（中国）集团有限公司,上海-普陀区,5-9千/月
SFE主管（销售数据分析主管）,香港澳美制药厂有限公司,广州,0.8-1.2万/月
数据分析师,马应龙药业集团股份有限公司,武汉-洪山区,1-1.2万/月
供应链数据分析师(J17605),上海药明康德新药开发有限公司,上海-浦东新区,
1742XD-数据分析岗（万州）,平安普惠企业管理有限公司重庆分公司,重庆-万州区,6-8千/月
数据分析员,昆明伊纳服饰有限公司,昆明-官渡区,4.5-8千/月
数据分析主任,维他奶有限公司,上海-长宁区,1.5-2万/月
数据分析师（五险一金+双休+高温补贴+每年体检）,宁波科拓进出口有限公司,宁波,0.7-1万/月
数据分析师,深圳华策辉弘科技有限公司,深圳-福田区,1.3-1.5万/月
数据分析师,武汉市爱之家实业有限公司,武汉-硚口区,0.8-1.2万/月
高级数据分析师,重庆慧都科技有限公司,重庆-九龙坡区,0.8-1万/月
数据分析高级工程师,一品红药业股份有限公司,广州-海珠区,1-2万/月
资深数据分析师,广州菲鹿儿商贸有限公司,广州-天河区,1.2-1.8万/月
数据分析师,广州厉盛科技有限公司,广州-荔湾区,0.8-1.5万/月
数据分析师,天津尚赫保健用品有限公司,天津-南开区,4-6千/月
数据分析师（HR方向）,美丽田园医疗健康产业有限公司,上海-虹口区,1-1.5万/月
售前数据分析岗,上海黑瞳信息技术有限公司,上海-浦东新区,1-1.5万/月
数据分析师,银隆投资咨询（广州）有限公司,广州-白云区,0.8-1万/月
电商数据分析专员,上海热风时尚企业发展有限公司,上海-闵行区,7-9千/月
市场内勤/市场助理（数据分析师）,昆山迪安医学检验实验室有限公司,昆山,6-8千/月
数据分析专员Sales Operations（知名美资-浦东）,上海中智项目外包咨询服务有限公司,上海-浦东新区,0.8-1.2万/月
数据分析工程师,武汉英泰斯特电子技术有限公司,武汉-东湖新技术产业开发区,0.8-1.4万/月
数据分析师,网联云区块链技术（深圳）有限公司,深圳-龙岗区,0.8-1万/月
信息主管（信息管理/数据分析）,成都武侯双楠恩喜医疗美容门诊部有限公司,成都-武侯区,4.5-6千/月
